,route,neighbourhood,sublocality,administrative_area,lat,long
2998,Park Avenue,,Manhattan,New York County,40.7831046,-73.9546035
2999,164th Street,Jamaica,Jamaica,Queens County,40.7102499,-73.79985
3000,5th Avenue,,Manhattan,New York County,40.8092578,-73.9398282
3001,North 3rd Street,Williamsburg,Williamsburg,Kings County,40.7172132,-73.9622559
3002,Sullivan Street,,Manhattan,New York County,40.724558,-74.004173
3003,East 37th Street,East Flatbush,East Flatbush,Kings County,40.6383047,-73.9417504
3004,39th Avenue,Flushing,Flushing,Queens County,40.7617299,-73.79176
3005,5th Avenue,,Manhattan,New York County,40.7643563,-73.9727544
3006,Sutter Avenue,East New York,East New York,Kings County,40.6735859,-73.8674854
3007,Rome Avenue,Todt Hill,Todt Hill,Richmond County,40.6020615,-74.093461
3008,Doone Court,Sheepshead Bay,Sheepshead Bay,Kings County,40.590624,-73.9581347
3009,West 145th Street,,Manhattan,New York County,40.822922,-73.9426429
3010,99th Street,Flushing,Flushing,Queens County,40.744266,-73.862867
3011,East 56th Street,Mill Basin,Mill Basin,Kings County,40.6136942,-73.920504
3012,5th Avenue,,Manhattan,New York County,40.7770753,-73.963133
3013,7th Avenue,Sunset Park,Sunset Park,Kings County,40.6478661,-74.0006098
3014,Park Avenue,,Manhattan,New York County,40.7851736,-73.9527438
3015,East 77th Street,,Manhattan,New York County,40.7754782,-73.9639697
3016,East 16th Street,Midwood,Midwood,Kings County,40.6274471,-73.961091
3017,Effington Avenue,Flushing,Flushing,Queens County,40.7496294,-73.7938635
3018,West 60th Street,,Manhattan,New York County,40.771979,-73.9889567
3019,64th Street,Flushing,Flushing,Queens County,40.7295006,-73.9014268
3020,Bay 24th Street,Far Rockaway,Far Rockaway,Queens County,40.6054311,-73.7620238
3021,5th Avenue,,Manhattan,New York County,40.768301,-73.9697336
3022,Riverside Drive,,Manhattan,New York County,40.7809028,-73.9846443
3023,68th Street,Bay Ridge,Bay Ridge,Kings County,40.6341182,-74.0202284
3024,Manor Road,Queens Village,Queens Village,Queens County,40.7320884,-73.7432042
3025,Central Park West,,Manhattan,New York County,40.7753983,-73.9769193
3026,Chelsea Street,Jamaica,Jamaica,Queens County,40.714763,-73.776178
3027,108th Street,Forest Hills,Forest Hills,Queens County,40.7254109,-73.8453358
3028,3rd Avenue,,Manhattan,New York County,40.7881977,-73.947385
3029,Avenue X,Gravesend,Gravesend,Kings County,40.58955,-73.9824749
3030,East 28th Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5864616,-73.9410656
3031,Park Avenue,,Manhattan,New York County,40.762236,-73.9706084
3032,Troy Avenue,Flatlands,Flatlands,Kings County,40.6192487,-73.9324
3033,Milburn Street,,Staten Island,Richmond County,40.5774818,-74.1262228
3034,25th Road,Flushing,Flushing,Queens County,40.7757085,-73.8271079
3035,Monroe Avenue,Mid Island,Mid Island,Richmond County,40.6407112,-74.0796848
3036,West 129th Street,,Manhattan,New York County,40.811152,-73.9451209
3037,160th Street,Whitestone,Whitestone,Queens County,40.7942899,-73.80139
3038,West 86th Street,,Manhattan,New York County,40.7870704,-73.9729362
3039,Stillwell Avenue,,Brooklyn,Kings County,40.5857519,-73.9835309
3040,West 55th Street,,Manhattan,New York County,40.7615992,-73.9757944
3041,Whitman Drive,Mill Basin,Mill Basin,Kings County,40.6065609,-73.906028
3042,Edgar Terrace,Mid Island,Mid Island,Richmond County,40.6351047,-74.0818972
3043,Central Park South,,Manhattan,New York County,40.7646573,-73.9744439
3044,East End Avenue,,Manhattan,New York County,40.7772322,-73.9435595
3045,Vermont Court,Cypress Hills,Cypress Hills,Kings County,40.6830674,-73.8945769
3046,Mercer Street,,Manhattan,New York County,40.7241512,-73.9992064
3047,Prospect Park West,Park Slope,Park Slope,Kings County,40.6703253,-73.9724152
3048,South End Avenue,,Manhattan,New York County,40.7097702,-74.0162823
3049,West End Avenue,,Manhattan,New York County,40.7844489,-73.9807532
3050,West 2nd Street,Gravesend,Gravesend,Kings County,40.5871568,-73.9709274
3051,Chrystie Street,,Manhattan,New York County,40.720727,-73.9928511
3052,East 90th Street,,Manhattan,New York County,40.781483,-73.952964
3053,Oliver Street,Fort Hamilton,Fort Hamilton,Kings County,40.6193503,-74.0388023
3054,West 14th Street,,Manhattan,New York County,40.7408927,-74.0044465
3055,West 15th Street,Coney Island,Coney Island,Kings County,40.5801478,-73.9835836
3056,Ryer Avenue,Fordham Heights,Fordham Heights,Bronx County,40.8523239,-73.900732
3057,Independence Avenue,Riverdale,Riverdale,Bronx County,40.8890444,-73.9137075
3058,Madison Street,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6864817,-73.9334333
3059,Keel Court,College Point,College Point,Queens County,40.7933742,-73.8458392
3060,Rivington Street,,Manhattan,New York County,40.7189961,-73.9854648
3061,Grace Court,Brooklyn Heights,Brooklyn Heights,Kings County,40.6944364,-73.9986563
3062,West 5th Street,Coney Island,Coney Island,Kings County,40.5781785,-73.9733314
3063,22nd Road,Whitestone,Whitestone,Queens County,40.7788549,-73.8246986
3064,West 85th Street,,Manhattan,New York County,40.7863645,-73.9735331
3065,East 30th Street,,Manhattan,New York County,40.7420749,-73.9757973
3066,East 42nd Street,,Manhattan,New York County,40.7494678,-73.9717468
3067,Middle Loop Road,Eltingville,Eltingville,Richmond County,40.5550173,-74.163012
3068,Bristow Street,Foxhurst,Foxhurst,Bronx County,40.8325102,-73.8947147
3069,East 93rd Street,,Manhattan,New York County,40.7857744,-73.9562222
3070,Cooper Street,,Manhattan,New York County,40.8683018,-73.9229016
3071,Clyde Street,Flushing,Flushing,Queens County,40.722253,-73.855654
3072,108th Street,Flushing,Flushing,Queens County,40.7241743,-73.8448471
3073,West 65th Street,,Manhattan,New York County,40.7727634,-73.9809139
3074,144th Street,Jamaica,Jamaica,Queens County,40.6755971,-73.7952881
3075,Schenectady Avenue,Little Caribbean,Little Caribbean,Kings County,40.6494096,-73.9332856
3076,Barclay Street,,Manhattan,New York County,40.7139639,-74.0127212
3077,67th Avenue,Fresh Meadows,Fresh Meadows,Queens County,40.7383072,-73.7776864
3078,West 167th Street,,Manhattan,New York County,40.8387144,-73.9369924
3079,Amsterdam Avenue,,Manhattan,New York County,40.8485417,-73.930871
3080,Fulton Street,Clinton Hill,Clinton Hill,Kings County,40.6829851,-73.9656007
3081,Cortelyou Road,Flatbush,Flatbush,Kings County,40.6440698,-73.9539046
3082,60th Avenue,Elmhurst,Elmhurst,Queens County,40.7306154,-73.8731934
3083,3rd Street,Carroll Gardens,Carroll Gardens,Kings County,40.6777386,-73.9939495
3084,34th Avenue,Jackson Heights,Jackson Heights,Queens County,40.754307,-73.8769604
3085,West 138th Street,,Manhattan,New York County,40.815359,-73.9374734
3086,East 52nd Street,East Flatbush,East Flatbush,Kings County,40.6450331,-73.9279337
3087,Harding Park,Clason Point,Clason Point,Bronx County,40.8070672,-73.8579727
3088,Holland Avenue,Van Nest,Van Nest,Bronx County,40.8471618,-73.8650964
3089,West 66th Street,,Manhattan,New York County,40.776554,-73.9876401
3090,Crescent Street,Long Island City,Long Island City,Queens County,40.7616957,-73.9304941
3091,Willoughby Avenue,Clinton Hill,Clinton Hill,Kings County,40.692675,-73.96429
3092,4th Avenue,Park Slope,Park Slope,Kings County,40.6679746,-73.9903952
3093,Van Cleef Street,Flushing,Flushing,Queens County,40.74073,-73.852058
3094,Bay 7th Street,Bath Beach,Bath Beach,Kings County,40.6116673,-74.0113637
3095,Ocean Avenue,Sheepshead Bay,Sheepshead Bay,Kings County,40.595967,-73.9504018
3096,Taylor Street,,Staten Island,Richmond County,40.6360373,-74.1236718
3097,Saint Marks Avenue,Crown Heights,Crown Heights,Kings County,40.6756382,-73.9555242
3098,,,New York,,40.7522899,-73.72315
3099,Lincoln Place,Crown Heights,Crown Heights,Kings County,40.6702558,-73.9375206
3100,East 38th Street,East Flatbush,East Flatbush,Kings County,40.6334425,-73.9402186
3101,East 24th Street,Madison,Madison,Kings County,40.6063993,-73.9485994
3102,93rd Street,Flushing,Flushing,Queens County,40.7604667,-73.8755356
3103,East 110th Street,,Manhattan,New York County,40.7958546,-73.9464985
3104,Cannon Avenue,Travis - Chelsea,Travis - Chelsea,Richmond County,40.5939996,-74.1910619
3105,65th Street,Mapleton,Mapleton,Kings County,40.616988,-73.986133
3106,Marion Street,Ocean Hill,Ocean Hill,Kings County,40.6816466,-73.9105641
3107,West 63rd Street,,Manhattan,New York County,40.7710757,-73.9809771
3108,Marisa Court,East Bronx,East Bronx,Bronx County,40.8125317,-73.8239933
3109,West 50th Street,,Manhattan,New York County,40.7641461,-73.9901764
3110,Shore Road,Fort Hamilton,Fort Hamilton,Kings County,40.6206952,-74.0402708
3111,Purdy Street,Parkchester,Parkchester,Bronx County,40.8392076,-73.8539325
3112,Saull Street,Flushing,Flushing,Queens County,40.7533111,-73.8312005
3113,63rd Street,Bensonhurst,Bensonhurst,Kings County,40.6212043,-73.9908884
3114,West 21st Street,,Manhattan,New York County,40.7430502,-73.9967075
3115,97th Street,Rego Park,Rego Park,Queens County,40.7336463,-73.8618276
3116,62nd Drive,Flushing,Flushing,Queens County,40.7351177,-73.8536109
3117,203rd Street,Jamaica,Jamaica,Queens County,40.7051893,-73.7542415
3118,East 94th Street,,Manhattan,New York County,40.7822297,-73.9466255
3119,248th Street,Flushing,Flushing,Queens County,40.764944,-73.738236
3120,Ocean Avenue,Sheepshead Bay,Sheepshead Bay,Kings County,40.5866451,-73.949452
3121,Ionia Avenue,Woodrow,Woodrow,Richmond County,40.5365056,-74.1988326
3122,58th Street,Sunset Park,Sunset Park,Kings County,40.6371891,-74.0089766
3123,Washington Street,,Manhattan,New York County,40.7217139,-74.0103804
3124,12th Street,Gowanus,Gowanus,Kings County,40.6691888,-73.9919673
3125,East 9th Street,,Manhattan,New York County,40.7310966,-73.9926682
3126,Vestry Street,,Manhattan,New York County,40.7227325,-74.0101225
3127,Vineland Avenue,Woodrow,Woodrow,Richmond County,40.5486237,-74.1868168
3128,East 51st Street,,Manhattan,New York County,40.7540391,-73.9651308
3129,Butler Boulevard,Tottenville,Tottenville,Richmond County,40.5069018,-74.2247039
3130,,Sunnyside,Sunnyside,Queens County,40.7436341,-73.916415
3131,Larkin Street,Port Richmond,Port Richmond,Richmond County,40.6396595,-74.1362682
3132,56th Street,Sunset Park,Sunset Park,Kings County,40.6398568,-74.0109732
3133,49th Street,Astoria,Astoria,Queens County,40.7721299,-73.8960008
3134,72nd Place,Flushing,Flushing,Queens County,40.7303886,-73.8912581
3135,Park Terrace East,,Manhattan,New York County,40.8709037,-73.9155681
3136,West 5th Street,Coney Island,Coney Island,Kings County,40.5782062,-73.973315
3137,Front Street,Stapleton Heights,Stapleton Heights,Richmond County,40.626225,-74.0745645
3138,Avenue P,Bensonhurst,Bensonhurst,Kings County,40.6086157,-73.9765291
3139,Park Avenue,,Manhattan,New York County,40.7820603,-73.9562107
3140,Charles Street,,Manhattan,New York County,40.7346124,-74.0039065
3141,88th Street,Jamaica,Jamaica,Queens County,40.6785851,-73.8497745
3142,Jefferson Avenue,Bushwick,Bushwick,Kings County,40.6958927,-73.9084857
3143,Norfolk Street,,Manhattan,New York County,40.7188873,-73.9873574
3144,East End Avenue,,Manhattan,New York County,40.7735704,-73.9461541
3145,Saint Johns Avenue,Rosebank,Rosebank,Richmond County,40.6114323,-74.0667876
3146,64th Street,Flushing,Flushing,Queens County,40.7221698,-73.9011088
3147,Spring Street,,Manhattan,New York County,40.7253082,-74.005407
3148,65th Street,Woodside,Woodside,Queens County,40.7469399,-73.8986099
3149,East 70th Street,,Manhattan,New York County,40.7673126,-73.9584378
3150,Reade Street,,Manhattan,New York County,40.7151591,-74.006685
3151,West 123rd Street,,Manhattan,New York County,40.8101077,-73.9546373
3152,Judge Street,Elmhurst,Elmhurst,Queens County,40.7442352,-73.8797855
3153,Bethel Avenue,Tottenville,Tottenville,Richmond County,40.5153019,-74.2352069
3154,Marathon Parkway,Little Neck,Little Neck,Queens County,40.7576854,-73.7298343
3155,56th Street,Sunset Park,Sunset Park,Kings County,40.6449894,-74.0196153
3156,Murdock Avenue,Edenwald,Edenwald,Bronx County,40.8926424,-73.8409541
3157,East 42nd Street,Flatlands,Flatlands,Kings County,40.631398,-73.9361773
3158,Bedford Avenue,Madison,Madison,Kings County,40.6074439,-73.9477154
3159,East 79th Street,,Manhattan,New York County,40.7720929,-73.9514513
3160,East 57th Street,Flatlands,Flatlands,Kings County,40.6200647,-73.9203764
3161,,,Manhattan,New York County,40.7632867,-73.9700993
3162,149th Street,Flushing,Flushing,Queens County,40.763716,-73.816271
3163,Seth Court,Mid Island,Mid Island,Richmond County,40.6185653,-74.0948312
3164,Hawthorne Street,Prospect Lefferts Gardens,Prospect Lefferts Gardens,Kings County,40.6573594,-73.9554071
3165,East 5th Street,,Manhattan,New York County,40.7247015,-73.9835768
3166,Dry Harbor Road,Flushing,Flushing,Queens County,40.7257927,-73.8727767
3167,East 88th Street,,Manhattan,New York County,40.782249,-73.958665
3168,Avenue of the Americas,,Manhattan,New York County,40.7190306,-74.0054491
3169,Mother Gaston Boulevard,Ocean Hill,Ocean Hill,Kings County,40.6748665,-73.908063
3170,West 96th Street,,Manhattan,New York County,40.7935524,-73.9687728
3171,Ocean Parkway,Brighton Beach,Brighton Beach,Kings County,40.5822648,-73.9666622
3172,5th Avenue,,Manhattan,New York County,40.768973,-73.969136
3173,82nd Street,,Brooklyn,Kings County,40.6013215,-73.986412
3174,West 25th Street,,Manhattan,New York County,40.7459915,-73.9956777
3175,Bay Street,Clifton,Clifton,Richmond County,40.6241719,-74.0746007
3176,12th Street,Park Slope,Park Slope,Kings County,40.6646996,-73.9831407
3177,114th Street,South Richmond Hill,South Richmond Hill,Queens County,40.6863457,-73.8292298
3178,79th Street,Flushing,Flushing,Queens County,40.7187347,-73.875063
3179,90th Street,Jamaica,Jamaica,Queens County,40.6917678,-73.8540537
3180,204th Street,Jamaica,Jamaica,Queens County,40.6957516,-73.7490297
3181,Bank Street,,Manhattan,New York County,40.7362367,-74.0070136
3182,East Avenue,Parkchester,Parkchester,Bronx County,40.836532,-73.859174
3183,East End Avenue,,Manhattan,New York County,40.7731502,-73.9462859
3184,Pearsall Avenue,Laconia,Laconia,Bronx County,40.869166,-73.8520258
3185,East 81st Street,,Manhattan,New York County,40.7760492,-73.9577296
3186,5th Avenue,,Manhattan,New York County,40.744213,-73.987241
3187,Washington Street,,Manhattan,New York County,40.7092191,-74.0137534
3188,Commonwealth Avenue,East Bronx,East Bronx,Bronx County,40.8345273,-73.8686683
3189,Arlington Avenue,North Riverdale,North Riverdale,Bronx County,40.9069228,-73.9062512
3190,East 63rd Street,,Manhattan,New York County,40.7645068,-73.9653462
3191,Van Buren Street,Bushwick,Bushwick,Kings County,40.6925254,-73.9260278
3192,5th Avenue,,Manhattan,New York County,40.7753473,-73.9646138
3193,Greenwich Street,,Manhattan,New York County,40.7074175,-74.0135328
3194,Prospect Place,Crown Heights,Crown Heights,Kings County,40.6733835,-73.9300041
3195,Foothill Avenue,Jamaica,Jamaica,Queens County,40.7175476,-73.7702388
3196,Watkins Street,Brownsville,Brownsville,Kings County,40.6585229,-73.9047396
3197,59th Avenue,Corona,Corona,Queens County,40.7376451,-73.8581248
3198,Adee Avenue,East Bronx,East Bronx,Bronx County,40.8697604,-73.8408611
3199,52nd Street,Borough Park,Borough Park,Kings County,40.6352404,-73.9966562
3200,66th Street,Bensonhurst,Bensonhurst,Kings County,40.6225358,-73.9970748
3201,East 141st Street,Mott Haven,Mott Haven,Bronx County,40.810301,-73.9202983
3202,West 85th Street,,Manhattan,New York County,40.7852077,-73.9706676
3203,Amboy Road,Prince's Bay,Prince's Bay,Richmond County,40.5240094,-74.2133774
3204,Stickney Place,Williamsbridge,Williamsbridge,Bronx County,40.88047,-73.8503054
3205,5th Avenue,Fort Hamilton,Fort Hamilton,Kings County,40.6207751,-74.0273954
3206,170th Street,Jamaica,Jamaica,Queens County,40.7095699,-73.79113
3207,East 96th Street,,Manhattan,New York County,40.7856236,-73.9507052
3208,Adam Clayton Powell Junior Boulevard,,Manhattan,New York County,40.8040569,-73.951435
3209,83rd Avenue,Jamaica,Jamaica,Queens County,40.7082867,-73.8335669
3210,Inwood Street,Jamaica,Jamaica,Queens County,40.6850187,-73.7977904
3211,East 61st Street,,Manhattan,New York County,40.7636541,-73.9681695
3212,88th Street,Howard Beach,Howard Beach,Queens County,40.6661012,-73.8471882
3213,East 50th Street,,Manhattan,New York County,40.7534926,-73.9655356
3214,Blackstone Avenue,Riverdale,Riverdale,Bronx County,40.890384,-73.9117878
3215,East 54th Street,,Manhattan,New York County,40.7570928,-73.9663495
3216,Eagle Street,Greenpoint,Greenpoint,Kings County,40.735132,-73.9536334
3217,West 58th Street,,Manhattan,New York County,40.7682097,-73.9846027
3218,75th Street,Jackson Heights,Jackson Heights,Queens County,40.7510999,-73.89118
3219,East 19th Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5875466,-73.9501033
3220,Bleecker Street,,Manhattan,New York County,40.7341122,-74.004816
3221,Tulfan Terrace,Riverdale,Riverdale,Bronx County,40.8872408,-73.9082189
3222,Continental Avenue,Pelham Bay,Pelham Bay,Bronx County,40.8529073,-73.830339
3223,Atkins Avenue,East New York,East New York,Kings County,40.6695084,-73.8779921
3224,Grand Concourse,Concourse Village,Concourse Village,Bronx County,40.831991,-73.919124
3225,,,Manhattan,New York County,40.804259,-73.9415268
3226,35th Avenue,Flushing,Flushing,Queens County,40.7639577,-73.8325965
3227,West 18th Street,,Manhattan,New York County,40.7404065,-73.9970822
3228,East 64th Street,,Manhattan,New York County,40.7664631,-73.9679613
3229,East 88th Street,,Manhattan,New York County,40.7822272,-73.9575194
3230,173rd Street,Flushing,Flushing,Queens County,40.7283735,-73.7970194
3231,Broadway,,Manhattan,New York County,40.7424515,-73.996531
3232,Findlay Avenue,Concourse Village,Concourse Village,Bronx County,40.8340749,-73.9113421
3233,East 83rd Street,,Manhattan,New York County,40.7776535,-73.957772
3234,263rd Street,Glen Oaks,Glen Oaks,Queens County,40.7493102,-73.7118303
3235,Laight Street,,Manhattan,New York County,40.7221603,-74.0078633
3236,Gates Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6890219,-73.9244415
3237,West 13th Street,,Manhattan,New York County,40.7366739,-73.9966616
3238,Kappock Street,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.881939,-73.9204858
3239,Tiemann Avenue,Pelham Gardens,Pelham Gardens,Bronx County,40.8580267,-73.837909
3240,5th Avenue,,Manhattan,New York County,40.7701916,-73.9682413
3241,23rd Avenue,Bayside,Bayside,Queens County,40.7806336,-73.7800528
3242,Park Avenue,,Manhattan,New York County,40.7813792,-73.9554399
3243,Park Avenue,,Manhattan,New York County,40.7676314,-73.9668788
3244,West 5th Street,Coney Island,Coney Island,Kings County,40.5774084,-73.9732594
3245,Amboy Road,Great Kills,Great Kills,Richmond County,40.5517925,-74.1441587
3246,Clinton Street,Carroll Gardens,Carroll Gardens,Kings County,40.6819385,-73.9985074
3247,Metropolitan Avenue,Kew Gardens,Kew Gardens,Queens County,40.7062291,-73.8326755
3248,Cozine Avenue,East New York,East New York,Kings County,40.6576494,-73.8782466
3249,East 17th Street,Homecrest,Homecrest,Kings County,40.5974982,-73.9539607
3250,East 40th Street,Flatlands,Flatlands,Kings County,40.6315943,-73.9376928
3251,Reade Street,,Manhattan,New York County,40.7147947,-74.0064392
3252,38th Avenue,Flushing,Flushing,Queens County,40.7537084,-73.8542469
3253,East 62nd Street,,Manhattan,New York County,40.7614157,-73.9599761
3254,East 100th Street,,Manhattan,New York County,40.7879956,-73.9485879
3255,46th Avenue,Flushing,Flushing,Queens County,40.7462943,-73.8609962
3256,Saint Marks Place,Boerum Hill,Boerum Hill,Kings County,40.6824096,-73.9820791
3257,East 22nd Street,,Manhattan,New York County,40.739891,-73.9882646
3258,66th Street,Bensonhurst,Bensonhurst,Kings County,40.6190481,-73.9912327
3259,113th Street,Flushing,Flushing,Queens County,40.7162869,-73.8314446
3260,Highland Avenue,Jamaica,Jamaica,Queens County,40.7101573,-73.7988498
3261,Yellowstone Boulevard,Forest Hills,Forest Hills,Queens County,40.7223221,-73.8493655
3262,West 71st Street,,Manhattan,New York County,40.7787812,-73.9837783
3263,East 31st Street,,Manhattan,New York County,40.7435603,-73.9784968
3264,Wheeler Avenue,East Bronx,East Bronx,Bronx County,40.8247339,-73.8794549
3265,Senator Street,Bay Ridge,Bay Ridge,Kings County,40.6376945,-74.0263049
3266,Colden Street,Flushing,Flushing,Queens County,40.7533589,-73.8250479
3267,,Rego Park,Rego Park,Queens County,40.7319691,-73.8541569
3268,Ocean Avenue,Midwood,Midwood,Kings County,40.6291705,-73.9575654
3269,Park Avenue,,Manhattan,New York County,40.7985635,-73.943597
3270,East 70th Street,,Manhattan,New York County,40.7688879,-73.962056
3271,Hatting Place,East Bronx,East Bronx,Bronx County,40.8170494,-73.802331
3272,Little Neck Parkway,Little Neck,Little Neck,Queens County,40.7670999,-73.7274399
3273,173rd Street,Jamaica,Jamaica,Queens County,40.711337,-73.789277
3274,Haven Avenue,,Manhattan,New York County,40.8512338,-73.9412096
3275,81st Street,Flushing,Flushing,Queens County,40.750966,-73.885177
3276,Crosby Street,,Manhattan,New York County,40.7218174,-73.9985808
3277,Central Park West,,Manhattan,New York County,40.7857788,-73.9693433
3278,East 73rd Street,,Manhattan,New York County,40.7728688,-73.9653065
3279,34th Avenue,Astoria,Astoria,Queens County,40.7633448,-73.9346195
3280,Roe Street,West Brighton,West Brighton,Richmond County,40.6309242,-74.1212547
3281,East 242nd Street,East Bronx,East Bronx,Bronx County,40.9052119,-73.8481704
3282,Grand Street,,Manhattan,New York County,40.7219635,-74.0033414
3283,West 75th Street,,Manhattan,New York County,40.779437,-73.97814
3284,East 25th Street,,Manhattan,New York County,40.7389643,-73.9791144
3285,Terrace Avenue,Charleston,Charleston,Richmond County,40.521212,-74.230732
3286,86th Street,Howard Beach,Howard Beach,Queens County,40.6642386,-73.8477653
3287,Grand Street,,Manhattan,New York County,40.7135079,-73.9794056
3288,Sunset Boulevard,Clason Point,Clason Point,Bronx County,40.806756,-73.853097
3289,West 148th Street,,Manhattan,New York County,40.8241865,-73.939702
3290,West 197th Street,West Bronx,West Bronx,Bronx County,40.871637,-73.8984353
3291,Netherland Avenue,North Riverdale,North Riverdale,Bronx County,40.9047804,-73.9057444
3292,Greenway Avenue,New Springville,New Springville,Richmond County,40.5891334,-74.1468153
3293,Wyckoff Avenue,Bushwick,Bushwick,Kings County,40.7028149,-73.9165356
3294,Shore Road,Fort Hamilton,Fort Hamilton,Kings County,40.6123382,-74.0356075
3295,West 6th Street,Gravesend,Gravesend,Kings County,40.6053887,-73.9787595
3296,Pacific Street,Crown Heights,Crown Heights,Kings County,40.6769065,-73.9327329
3297,Water Street,,Manhattan,New York County,40.7088594,-74.001287
3298,63rd Avenue,Flushing,Flushing,Queens County,40.7399679,-73.826261
3299,Herkimer Street,Ocean Hill,Ocean Hill,Kings County,40.6777679,-73.9189779
3300,Bay Ridge Avenue,Bensonhurst,Bensonhurst,Kings County,40.6137576,-73.9878002
3301,18th Street,Windsor Terrace,Windsor Terrace,Kings County,40.6537775,-73.9770686
3302,Avenue S,,Brooklyn,Kings County,40.6056129,-73.9396751
3303,Broadway,,Manhattan,New York County,40.8581217,-73.9322431
3304,East 12th Street,,Manhattan,New York County,40.7338734,-73.9921219
3305,East 80th Street,,Manhattan,New York County,40.7762654,-73.9595399
3306,Madison Avenue,,Manhattan,New York County,40.7825765,-73.9578338
3307,Central Park West,,Manhattan,New York County,40.7722757,-73.979081
3308,West 55th Street,,Manhattan,New York County,40.7636334,-73.9803004
3309,16th Street,Park Slope,Park Slope,Kings County,40.6648195,-73.9891783
3310,West 72nd Street,,Manhattan,New York County,40.776434,-73.9771489
3311,East 63rd Street,,Manhattan,New York County,40.7661564,-73.9700846
3312,Purdy Street,Parkchester,Parkchester,Bronx County,40.840912,-73.8545918
3313,3rd Avenue,,Manhattan,New York County,40.7670221,-73.9628426
3314,39th Avenue,Flushing,Flushing,Queens County,40.7526719,-73.854675
3315,,,Manhattan,New York County,40.7581185,-73.9620574
3316,East 78th Street,,Manhattan,New York County,40.7737439,-73.9586221
3317,East 80th Street,,Manhattan,New York County,40.7730858,-73.9528703
3318,Cove Court,College Point,College Point,Queens County,40.7946644,-73.8473931
3319,East 72nd Street,Bergen Beach,Bergen Beach,Kings County,40.6255774,-73.913355
3320,Center Place,New Dorp Beach,New Dorp Beach,Richmond County,40.5633004,-74.1004012
3321,Westervelt Avenue,Mid Island,Mid Island,Richmond County,40.6412495,-74.083228
3322,34th Avenue,Astoria,Astoria,Queens County,40.762146,-73.9318948
3323,114th Drive,Jamaica,Jamaica,Queens County,40.6969277,-73.7655056
3324,Nostrand Avenue,Prospect Lefferts Gardens,Prospect Lefferts Gardens,Kings County,40.6585715,-73.9507462
3325,West 9th Street,Carroll Gardens,Carroll Gardens,Kings County,40.6756187,-74.0002793
3326,Fairfax Avenue,East Bronx,East Bronx,Bronx County,40.8377397,-73.8241472
3327,Richmond Hill Road,New Springville,New Springville,Richmond County,40.5849183,-74.1599388
3328,112th Street,East Elmhurst,East Elmhurst,Queens County,40.7591289,-73.8579008
3329,1st Avenue,,Manhattan,New York County,40.7707242,-73.9542132
3330,34th Street,Long Island City,Long Island City,Queens County,40.7680157,-73.9174508
3331,46th Avenue,Bayside,Bayside,Queens County,40.7557556,-73.7774071
3332,Overlook Terrace,,Manhattan,New York County,40.8558902,-73.9351781
3333,Park Avenue,,Manhattan,New York County,40.7802712,-73.9567847
3334,Cabrini Boulevard,,Manhattan,New York County,40.8540347,-73.9393276
3335,West 5th Street,Coney Island,Coney Island,Kings County,40.5778092,-73.9728288
3336,Park Avenue,,Manhattan,New York County,40.7622996,-73.9698344
3337,Duke Ellington Boulevard,,Manhattan,New York County,40.8002612,-73.9648347
3338,Clearview Expressway,Bayside,Bayside,Queens County,40.75515,-73.7757869
3339,Perry Street,,Manhattan,New York County,40.7347565,-74.0097145
3340,East 109th Street,,Manhattan,New York County,40.7920582,-73.9393346
3341,East 49th Street,,Manhattan,New York County,40.7556998,-73.9717539
3342,Ocean View Avenue,Brighton Beach,Brighton Beach,Kings County,40.5783101,-73.9670934
3343,Montgomery Street,Crown Heights,Crown Heights,Kings County,40.6647715,-73.9353047
3344,West End Avenue,,Manhattan,New York County,40.7899034,-73.9774703
3345,Beekman Place,,Manhattan,New York County,40.754338,-73.964711
3346,Haring Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5926635,-73.9388739
3347,9th Avenue,,Manhattan,New York County,40.7450569,-74.0027927
3348,West 190th Street,,Manhattan,New York County,40.8570262,-73.9361002
3349,Stratford Avenue,East Bronx,East Bronx,Bronx County,40.8307543,-73.8757325
3350,East Mosholu Parkway South,West Bronx,West Bronx,Bronx County,40.8716219,-73.8826018
3351,East 30th Street,,Manhattan,New York County,40.7422824,-73.9781111
3352,West 62nd Street,,Manhattan,New York County,40.7697189,-73.9810746
3353,169th Street,Flushing,Flushing,Queens County,40.7318932,-73.8001903
3354,East 78th Street,,Manhattan,New York County,40.7711911,-73.9516646
3355,Central Park South,,Manhattan,New York County,40.7666667,-73.9797008
3356,East 39th Street,,Manhattan,New York County,40.7494389,-73.9768133
3357,West 139th Street,,Manhattan,New York County,40.8180997,-73.9429051
3358,Grandview Avenue,Mariners Harbor,Mariners Harbor,Richmond County,40.6306551,-74.1655807
3359,Cooper Street,Bushwick,Bushwick,Kings County,40.6888948,-73.9059091
3360,Tomlinson Avenue,Morris Park,Morris Park,Bronx County,40.8510197,-73.8533944
