,route,neighbourhood,sublocality,administrative_area,lat,long
1543,17th Street,Park Slope,Park Slope,Kings County,40.6600309,-73.9848315
1544,Edgewater Park,East Bronx,East Bronx,Bronx County,40.8224723,-73.81106
1545,,,Manhattan,New York County,40.7946402,-73.9434163
1546,Bay Street Landing,Mid Island,Mid Island,Richmond County,40.6384907,-74.0740254
1547,137th Street,Flushing,Flushing,Queens County,40.7684458,-73.8313888
1548,West 70th Street,,Manhattan,New York County,40.776443,-73.979985
1549,233rd Street,Jamaica,Jamaica,Queens County,40.6921975,-73.7287999
1550,Barnes Avenue,Van Nest,Van Nest,Bronx County,40.8473243,-73.8633392
1551,Riverside Drive,,Manhattan,New York County,40.834716,-73.9481517
1552,Beach 13th Street,Far Rockaway,Far Rockaway,Queens County,40.5997298,-73.7467974
1553,93rd Avenue,Jamaica,Jamaica,Queens County,40.7077562,-73.7787888
1554,West 35th Street,,Manhattan,New York County,40.7497074,-73.9859244
1555,122nd Avenue,Jamaica,Jamaica,Queens County,40.6857875,-73.7538304
1556,East 29th Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.590395,-73.9412863
1557,Park Avenue,,Manhattan,New York County,40.7669715,-73.9674377
1558,57th Street,Sunset Park,Sunset Park,Kings County,40.637981,-74.009565
1559,Shore Road,Bay Ridge,Bay Ridge,Kings County,40.636031,-74.0365302
1560,Ladd Road,North Riverdale,North Riverdale,Bronx County,40.9055018,-73.909935
1561,East 53rd Street,East Flatbush,East Flatbush,Kings County,40.6548876,-73.9275423
1562,69th Avenue,Fresh Meadows,Fresh Meadows,Queens County,40.7365683,-73.7763893
1563,East 87th Street,,Manhattan,New York County,40.7772709,-73.9477614
1564,Buell Street,Flushing,Flushing,Queens County,40.7615431,-73.8621447
1565,West 95th Street,,Manhattan,New York County,40.7938201,-73.9713411
1566,Bond Street,,Manhattan,New York County,40.7267495,-73.9938034
1567,West 55th Street,,Manhattan,New York County,40.7661581,-73.985324
1568,167th Street,Flushing,Flushing,Queens County,40.7485831,-73.8010787
1569,Tilden Avenue,East Flatbush,East Flatbush,Kings County,40.6482878,-73.9246615
1570,Hone Avenue,Morris Park,Morris Park,Bronx County,40.8475868,-73.853875
1571,Main Street,Briarwood,Briarwood,Queens County,40.7097347,-73.8188287
