,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
2151,Co-op for sale,4000000,3,2.0,2300.0,40.784,-73.983,7.741099090035366,15.201805169084134,2.0,Manhattan,New York County
2152,House for sale,649000,3,3.0,1456.0,40.597,-74.135,7.284134806195205,13.38318953651709,3.0,Manor Heights,Richmond County
2153,Condo for sale,1175000,1,2.0,1070.0,40.762,-73.977,6.976348070447749,13.976779556623864,2.0,Manhattan,New York County
2154,House for sale,995000,2,2.0,800.0,40.603,-73.976,6.68586094706836,13.81049902116535,2.0,Gravesend,Kings County
2155,Condo for sale,1595000,3,2.0,1375.0,40.736,-73.954,7.226936018493289,14.282384921160133,2.0,Greenpoint,Kings County
2156,Co-op for sale,435000,3,1.0,900.0,40.726,-74.002,6.803505257608338,12.983103608918753,1.0,Manhattan,New York County
2157,Condo for sale,1338000,3,2.0,2082.0,40.64,-74.074,7.641564441260972,14.106687267054188,2.0,Mid Island,Richmond County
2158,House for sale,499000,2,2.0,1146.0,40.896,-73.851,7.044905117129371,13.120363378739663,2.0,East Bronx,Bronx County
2159,Multi-family home for sale,2280000,6,5.0,2680.0,40.76,-73.792,7.893945138235959,14.639686439527019,5.0,Flushing,Queens County
2160,House for sale,660000,3,2.0,1728.0,40.657,-73.881,7.455298485683291,13.399996629152975,2.0,East New York,Kings County
2161,Co-op for sale,349000,2,1.0,800.0,40.584,-73.932,6.68586094706836,12.762830066509972,1.0,Sheepshead Bay,Kings County
2162,House for sale,14750000,6,6.0,8790.0,40.77,-73.967,9.081483749851179,16.50675370854671,6.0,Manhattan,New York County
2163,House for sale,160000,2,1.0,900.0,40.628,-74.18,6.803505257608338,11.982935344196433,1.0,Staten Island,Richmond County
2164,Condo for sale,12500000,4,4.0,3550.0,40.727,-74.009,8.174984532943087,16.341239282272525,4.0,Manhattan,New York County
2165,Condo for sale,370000,3,1.0,462.0,40.61,-73.954,6.137727054086234,12.821260987319457,1.0,Homecrest,Kings County
2166,Co-op for sale,600000,1,1.0,715.0,40.804,-73.964,6.573680166960646,13.304686600863562,1.0,Manhattan,New York County
2167,Condo for sale,1950000,2,2.0,1000.0,40.781,-73.952,6.90875477931522,14.48334044336031,2.0,Manhattan,New York County
2168,Co-op for sale,2000000,3,2.0,1800.0,40.774,-73.955,7.496097345175956,14.508658238524095,2.0,Manhattan,New York County
2169,Multi-family home for sale,1250828,7,2.0,2680.0,40.706,-73.901,7.893945138235959,14.039317089458548,2.0,Flushing,Queens County
2170,House for sale,1149000,4,3.0,1800.0,40.664,-73.952,7.496097345175956,13.954403427152533,3.0,Crown Heights,Kings County
2171,Co-op for sale,329999,2,1.0,950.0,40.821,-73.876,6.85751406254539,12.706847933442663,1.0,East Bronx,Bronx County
2172,Co-op for sale,390000,2,1.0,1100.0,40.716,-73.831,7.00397413672268,12.873904582205107,1.0,Flushing,Queens County
2173,Co-op for sale,400000,3,1.0,900.0,40.777,-73.982,6.803505257608338,12.899222326086994,1.0,Manhattan,New York County
2174,Co-op for sale,239000,1,1.0,700.0,40.578,-73.953,6.55250788703459,12.384223015005313,1.0,Manhattan Beach,Kings County
2175,Multi-family home for sale,1188888,4,2.0,2680.0,40.743,-73.833,7.893945138235959,13.988529815553855,2.0,Flushing,Queens County
2176,Condo for sale,18500000,4,4.0,4856.0,40.724,-74.002,8.488176242345745,16.733281344102608,4.0,Manhattan,New York County
2177,Co-op for sale,567000,3,2.0,900.0,40.732,-73.86,6.803505257608338,13.248116346376765,2.0,Rego Park,Queens County
2178,Condo for sale,8900000,5,5.0,4297.0,40.778,-73.985,8.365905077202456,16.001561947061912,5.0,Manhattan,New York County
2179,Co-op for sale,189000,3,1.0,900.0,40.753,-73.877,6.803505257608338,12.149507585033072,1.0,Jackson Heights,Queens County
2180,House for sale,985000,3,2.0,1728.0,40.718,-73.793,7.455298485683291,13.800397935382136,2.0,Jamaica,Queens County
2181,Co-op for sale,839000,3,2.0,1120.0,40.85,-73.939,7.02197642307216,13.639967177343745,2.0,Manhattan,New York County
2182,Co-op for sale,995000,3,2.0,900.0,40.754,-73.964,6.803505257608338,13.81049902116535,2.0,Manhattan,New York County
2183,Condo for sale,1439000,4,2.0,1625.0,40.697,-73.957,7.3938782901077555,14.179459680796295,2.0,Bedford-Stuyvesant,Kings County
2184,Co-op for sale,379000,2,1.0,900.0,40.728,-73.821,6.803505257608338,12.84529412258351,1.0,Flushing,Queens County
2185,Co-op for sale,3195000,4,4.0,900.0,40.762,-73.959,6.803505257608338,14.97709795878277,4.0,Manhattan,New York County
2186,Multi-family home for sale,1245000,5,2.0,1800.0,40.709,-73.893,7.496097345175956,14.034646891093473,2.0,Flushing,Queens County
2187,Townhouse for sale,1995000,4,4.0,3750.0,40.67,-73.941,8.229777750081887,14.506155109559108,4.0,Crown Heights,Kings County
2188,Multi-family home for sale,365000,4,3.0,1600.0,40.635,-74.091,7.3783837129967145,12.807655372286902,3.0,Mid Island,Richmond County
2189,Condo for sale,950000,2,2.0,1025.0,40.767,-73.934,6.933423025730715,13.76421831620775,2.0,Astoria,Queens County
2190,House for sale,4195000,6,6.0,1728.0,40.721,-73.984,7.455298485683291,15.249404136262438,6.0,Manhattan,New York County
2191,Condo for sale,209000,1,1.0,658.0,40.839,-73.857,6.490723534502507,12.250094315624496,1.0,Parkchester,Bronx County
2192,Pending,1390000,5,4.0,1992.0,40.63,-73.962,7.597396320212795,14.144815024531075,4.0,Flatbush,Kings County
2193,Condo for sale,8250000,6,6.0,3920.0,40.725,-73.994,8.27410200229233,15.925723879522977,6.0,Manhattan,New York County
2194,Co-op for sale,429000,2,1.0,850.0,40.618,-74.039,6.7464121285733745,12.969214528909768,1.0,Fort Hamilton,Kings County
2195,House for sale,950000,1,1.0,1728.0,40.752,-73.97,7.455298485683291,13.76421831620775,1.0,Manhattan,New York County
2196,House for sale,699000,3,3.0,2835.0,40.632,-73.931,7.950149887652018,13.457407451830088,3.0,Flatlands,Kings County
2197,Condo for sale,450000,1,1.0,724.0,40.61,-73.954,6.586171654854675,13.017005083966255,1.0,Homecrest,Kings County
2198,House for sale,1190000,4,2.0,1500.0,40.594,-73.956,7.313886831633462,13.989464705423494,2.0,Homecrest,Kings County
2199,Co-op for sale,2995000,2,2.0,900.0,40.747,-73.981,6.803505257608338,14.912455123421447,2.0,Manhattan,New York County
2200,Condo for sale,349980,3,1.0,1100.0,40.719,-73.811,7.00397413672268,12.765634146277788,1.0,Kew Gardens Hills,Queens County
2201,Contingent,339000,1,1.0,693.0,40.548,-74.157,6.542471960506805,12.733758336210744,1.0,Great Kills,Richmond County
2202,House for sale,649000,3,2.0,1257.0,40.65,-73.945,7.1372784372603855,13.38318953651709,2.0,Little Haiti,Kings County
2203,Co-op for sale,4695000,3,4.0,2600.0,40.782,-73.956,7.8636512654486515,15.362008883617023,4.0,Manhattan,New York County
2204,Co-op for sale,189999,1,1.0,900.0,40.759,-73.876,6.803505257608338,12.154779351142624,1.0,East Elmhurst,Queens County
2205,House for sale,399888,3,4.0,1613.0,40.887,-73.859,7.3864708488298945,12.89894228757987,4.0,East Bronx,Bronx County
2206,Pending,1199900,4,4.0,2393.0,40.548,-74.16,7.780720886117918,13.997749611354916,4.0,Eltingville,Richmond County
