,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
2278,Co-op for sale,625000,1,1.0,650.0,40.74,-73.98,6.478509642208569,13.345508528717259,1.0,Manhattan,New York County
2279,Condo for sale,399000,3,1.0,391.0,40.767,-73.924,5.971261839790462,12.896719202134523,1.0,Astoria,Queens County
2280,Condo for sale,5700000,3,4.0,2357.0,40.724,-74.006,7.765569081097317,15.555976908243359,4.0,Manhattan,New York County
2281,Condo for sale,618000,3,2.0,,40.585,-73.941,,13.334245354561496,2.0,Sheepshead Bay,Kings County
2282,Co-op for sale,149999,1,1.0,694.0,40.905,-73.907,6.543911845564792,11.918390573078392,1.0,North Riverdale,Bronx County
2283,Condo for sale,650000,3,1.0,550.0,40.794,-73.966,6.311734809152915,13.384729180332174,1.0,Manhattan,New York County
2284,Multi-family home for sale,1990000,5,2.3738608579684373,,40.74,-73.831,,14.503645699213111,2.0,Flushing,Queens County
2285,Co-op for sale,550000,1,1.0,,40.791,-73.968,,13.217675375388819,1.0,Manhattan,New York County
2286,Co-op for sale,279000,1,1.0,,40.881,-73.911,,12.53897064502647,1.0,Spuyten Duyvil,Bronx County
2287,Co-op for sale,399000,2,1.0,1090.0,40.746,-73.878,6.994849985833071,12.896719202134523,1.0,Elmhurst,Queens County
2288,Townhouse for sale,2495000,3,2.3738608579684373,4125.0,40.704,-73.931,8.325063693631197,14.72979968796928,2.0,Bushwick,Kings County
